molecule_chembl_id,smiles,standard_value,bioactivity_class
CHEMBL70104,CC1(C)OC(=O)C(OC2CCCCC2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,active
CHEMBL96098,CCc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,1700.0,active
CHEMBL97179,CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,50.0,active
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,200.0,active
CHEMBL355781,CS(=O)(=O)c1ccc(-c2csc(CC(=O)O)c2-c2ccc(F)cc2)cc1,10000.0,inactive
CHEMBL276436,CC(C)CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,4500.0,active
CHEMBL95380,COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,190.0,active
CHEMBL97808,COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,4000.0,active
CHEMBL260566,Nc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1,100000.0,inactive
CHEMBL111904,CC[C@@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,500.0,active
CHEMBL222902,COc1cc(OC)cc(OCc2cc(-c3ccccc3)n(-c3ccc(S(C)(=O)=O)cc3)n2)c1,870.0,active
CHEMBL126303,Cc1cc(=O)c(Oc2ccccc2C)c(-c2ccc(S(C)(=O)=O)cc2)o1,170.02,active
CHEMBL111597,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,10.0,active
CHEMBL99933,CCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,100.0,active
CHEMBL3289101,C=C(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,10000.0,inactive
CHEMBL1682201,CC(=O)c1ccc(Nc2cccc(C(=O)O)c2)cc1,100000.0,inactive
CHEMBL3323320,CC(C)(C)C1=NN(c2ccc(C(=O)O)cc2)C(c2ccc(O)cc2)C1,100000.0,inactive
CHEMBL3976289,CCOc1ccc(C2CC(C(C)(C)C)=NN2c2ccc(C(=O)O)cc2)cc1,100000.0,inactive
CHEMBL3265352,c1ccc(-c2nn(-c3ccccc3)cc2-c2nnc(-c3ccncc3)o2)cc1,11100.0,inactive
CHEMBL3289097,CC(=O)O[C@@H]1CC[C@]2(C)C3=C(CC[C@H]2C1(C)C)[C@@]1(C)CC[C@@H]([C@H](CCC=C(C)C)C(=O)O)[C@]1(C)CC3,10000.0,inactive
CHEMBL3289104,CC(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4CC(C)(C)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CCC(=O)O,10000.0,inactive
CHEMBL56367,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,700.0,active
CHEMBL229955,COc1ccc2c(c1)CCC(c1ccc(OC)c(OC)c1)=C2,30.0,active
CHEMBL3264515,CCOC(=O)c1c(C)oc2ccc(Oc3ccccc3C)cc12,6100.0,active
CHEMBL3264518,CCOC(=O)c1c(-c2ccccc2)oc2ccc(Oc3ccccc3)cc12,18200.0,inactive
CHEMBL1631310,Cc1ccc(-c2nn(-c3ccccc3)cc2C2N[C@H](C(N)=O)CS2)cc1,380.0,active
CHEMBL89578,CC1(C)CC(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,15.14,active
CHEMBL111095,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,8.913,active
CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,3400.0,active
CHEMBL145647,CCCOCCCSc1ccccc1OC(C)=O,50000.0,inactive
CHEMBL111562,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,1.995,active
CHEMBL54370,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,3.981,active
CHEMBL282301,NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,48.98,active
CHEMBL285335,NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1,199.53,active
CHEMBL29844,COc1c(C)cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,66.07,active
CHEMBL321016,Cc1cccnc1-c1nc(C(F)(F)F)cn1-c1ccc(S(N)(=O)=O)cc1,1584.89,active
CHEMBL144658,CCCCSc1ccccc1OC(C)=O,34000.0,inactive
CHEMBL183977,COc1ccc(C(=O)c2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,1090.0,active
CHEMBL283178,CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,9.0,active
CHEMBL430783,NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccccc2F)cc1,2197.86,active
CHEMBL222480,COc1ccc(-n2nc(COc3cc(F)cc(C4(OC)CCOCC4)c3)cc2-c2ccccc2)cc1,300.0,active
CHEMBL384659,COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(C)cc4)n3)c2)CCOCC1,930.0,active
CHEMBL227135,O=C1O[C@H](c2ccc(O)c(O)c2)[C@H]2CO[C@H](c3ccc(O)c(O)c3)[C@@H]12,90200.0,inactive
CHEMBL4758065,Clc1ccc(COc2nc3ccccc3s2)cc1,770.0,active
CHEMBL183970,Cc1[nH]c2cc(S(C)(=O)=O)ccc2c1Cc1ccc(F)cc1F,8400.0,active
CHEMBL70921,NS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(F)cc2)cc1,1499.68,active
CHEMBL15781,CC(C)(C)c1cc(/C=C2\OC(N=C(N)N)=NC2=O)cc(C(C)(C)C)c1O,5100.0,active
CHEMBL320784,CC1(C)CC(c2ccc(Cl)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,7.0,active
CHEMBL1632401,CC(=O)N1N=C(c2ccc(S(C)(=O)=O)cc2)CC1c1ccccc1OCc1ccccc1,3200.0,active
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,60.0,active
CHEMBL304054,Cc1cccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)c1,510.5,active
CHEMBL18498,COC1(C)OC(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,100.0,active
CHEMBL138191,C[S+]([O-])c1ccc(C(Nc2cccnc2)C(=O)c2ccc(F)cc2)cc1,500.0,active
CHEMBL127120,CS(=O)(=O)c1ccc(-c2[nH]c(I)cc2-c2ccc(F)cc2)cc1,92300.0,inactive
CHEMBL329480,COc1ccc2c(c1)c(CC(=O)Nc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,52.0,active
CHEMBL1797512,CC(=O)OCO/N=[N+](/[O-])N1CCC[C@@H]1C(=O)OCc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)COC2=O)cc1,2400.0,active
CHEMBL1814713,Cc1ccc(-c2cc(C(C)C(=O)[O-])ccc2CC2CCCC2=O)cc1.[Na+],420000.0,inactive
CHEMBL1814722,COc1ccc(-c2cc(CC3CCCC3=O)ccc2C(C)C(=O)[O-])cc1.[Na+],430000.0,inactive
CHEMBL95469,COc1ccc2c(c1)c(CC(=O)Nc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,120.0,active
CHEMBL3104549,Cc1c(C(N)C(=O)NCCO[N+](=O)[O-])cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1cccc(F)c1,21000.0,inactive
CHEMBL118335,CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,6000.0,active
CHEMBL173724,CN1C(O)=C(C(=O)Nc2ccc(Br)cc2Br)c2cc(Cl)ccc2S1(=O)=O,7.0,active
CHEMBL24363,COc1ccc2c(c1)c(CC(=O)N[C@@H](CO)Cc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,220.0,active
CHEMBL365267,COc1ccc2c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccc(F)cc3)nn2n1,26.0,active
CHEMBL184613,Cc1ccc2c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)nn2n1,31.0,active
CHEMBL434520,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)cc3)nn3nc(S(C)(=O)=O)ccc23)cc1,370.0,active
CHEMBL261321,Nc1ccc(C(=O)Nc2ccccc2C(F)(F)F)cc1,100000.0,inactive
CHEMBL406515,Nc1cccc(C(=O)Nc2ccc(C(F)(F)F)cc2)c1,100000.0,inactive
CHEMBL258656,Nc1ccnc(NC(=O)c2cccc(C(F)(F)F)c2)c1,100000.0,inactive
CHEMBL184281,COc1ccc(Sc2c(C)[nH]c3cc(S(C)(=O)=O)ccc23)cc1,470.0,active
CHEMBL184039,COC(=O)c1[nH]c2cc(S(C)(=O)=O)ccc2c1Sc1ccc(F)cc1,1100.0,active
CHEMBL420351,Cc1cc(=O)c(Oc2ccc(Cl)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,320.04,active
CHEMBL274990,CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,310.0,active
CHEMBL1092136,CC(C(=O)O)c1cccn(C(F)F)c1=O,5900.0,active
CHEMBL320273,CC1(C)OC(=O)C(Oc2cnccn2)=C1c1ccc(S(C)(=O)=O)cc1,3800.0,active
CHEMBL280772,Cc1ccc(C)c(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)c1,100000.0,inactive
CHEMBL29397,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2csc3ccccc23)cc1,350.0,active
CHEMBL155781,CS(=O)(=O)c1ccc(-c2cnn(CCC3CC3)c(=O)c2-c2ccc(F)cc2)cc1,2900.0,active
CHEMBL320118,COc1cncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,37600.0,inactive
CHEMBL151658,CC(O)CN1c2ccccc2Sc2ccccc21,5000.0,active
CHEMBL226109,COc1ccc([C@H]2O[C@@H](CO)C[C@]2(O)c2ccc(OC)cc2)cc1,1000.0,active
CHEMBL501782,O=C(O)[C@H]1C[C@](O)(c2ccc(Cl)cc2)[C@@H](c2ccc(Cl)cc2)O1,3800.0,active
CHEMBL108917,CC1(C)OC(=O)C(Oc2ccc(C3CC3)cn2)=C1c1ccc(S(C)(=O)=O)cc1,30.0,active
CHEMBL290031,Cc1nc(C2CCCCC2)c(-c2ccc(S(N)(=O)=O)cc2)o1,70.0,active
CHEMBL1171455,C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC[C@H]3O[C@@H](OC(=O)[C@]45CCC(C)(C)C[C@H]4C4=CC[C@@H]6[C@@]7(C)CC[C@H](O[C@@H]8OC[C@H](O)[C@H](O)[C@H]8O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O[C@@H]9OC[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O[C@@H]%11O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10O)[C@@H](O)[C@H]9O)[C@H]8O)[C@@](C)(CO)[C@@H]7CC[C@@]6(C)[C@]4(C)CC5)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@H](O)[C@H]1O,50000.0,inactive
CHEMBL367328,CS(=O)(=O)c1ccc(-c2ccc(N)cc2-c2ccccc2)cc1,254000.0,inactive
CHEMBL127267,Cc1cc(=O)c(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)o1,9770.12,active
CHEMBL68866,CS(=O)(=O)c1ccc(-c2occ(Cl)c(=O)c2-c2ccc(F)cc2)cc1,1478427.39,inactive
CHEMBL127560,Cc1cc(=O)c(Oc2ccc(OC(F)(F)F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,2449.06,active
CHEMBL3359453,CC(C(=O)NCCc1c[nH]c2ccc(O)cc12)c1ccc(-c2ccccc2)c(F)c1,8000.0,active
CHEMBL416363,CC1(O)OC(=O)C(c2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,550.0,active
CHEMBL416363,CC1(O)OC(=O)C(c2cc(F)cc(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,13400.0,inactive
CHEMBL3397719,CCCC/C(=C\c1cc(OCc2cc3ccccc3s2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,10000.0,inactive
CHEMBL3397720,CCCC/C(=C\c1cc(OCc2csc(-c3ccc(C(F)(F)F)cc3)n2)ccc1OCc1ccc(C(F)(F)F)cc1)C(=O)O,10000.0,inactive
CHEMBL315520,COc1c(Cl)cc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,6.026,active
CHEMBL254418,Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)NO)cc1.O,1100.0,active
CHEMBL325370,CC1(C)OC(=O)C(C(=O)c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,600.0,active
CHEMBL109177,CC1(C)OC(=O)C(Oc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,40.0,active
CHEMBL127203,Cn1c(Br)c(Br)c(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,55670.0,inactive
CHEMBL127868,Cc1ccc(Oc2c(-c3ccc(S(C)(=O)=O)cc3)oc(C)cc2=O)cc1,209.99,active
CHEMBL153,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,13100.0,inactive
CHEMBL108802,CC1(C)OC(=O)C(Cc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,300.0,active
CHEMBL43616,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Br)c2)cc1,80.0,active
CHEMBL328146,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCCC3)C2)cc1,100000.0,inactive
CHEMBL23245,CS(=O)(=O)c1ccc(C2=C(c3cccc(F)c3)C(=O)CC2)cc1,340.0,active
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,500.0,active
CHEMBL3127460,COc1cc2occc2c(OC)c1-c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)n1,26000.0,inactive
CHEMBL3127458,COc1c(-c2cc(-c3cccnc3)nn2-c2ccc(S(N)(=O)=O)cc2)c(O)c(OC)c2occc12,360.0,active
CHEMBL1080853,O=C(Nc1ccc(-c2ccc(Cl)c(Cl)c2)cc1)C1=C(O)c2cc(O)ccc2S(=O)(=O)N1,100000.0,inactive
CHEMBL338347,Cc1cc(=O)c(Oc2ccc(N)cc2)c(-c2ccc(S(C)(=O)=O)cc2)o1,1480.0,active
CHEMBL558929,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(OCC3CCCCCC3)n2)cc1,1034.0,active
