molecule_chembl_id,smiles,standard_value,bioactivity_class,descriptors,MolWt,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,MolLogP
CHEMBL406140,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2cccnc2)cc1,45000.0,inactive,"{1, 2.600500000000001, 3, 5, 368.34000000000003, 90.87}",1.0,2.600500000000001,3.0,5.0,368.34000000000003,90.87
CHEMBL607560,CC(C(=O)O)c1ccc(-c2ccn(C(F)F)c(=O)c2)cc1,2400.0,active,"{1, 3, 4, 293.26899999999995, 3.0985000000000014, 59.3}",1.0,3.0,4.0,293.26899999999995,3.0985000000000014,59.3
CHEMBL605161,O=[N+]([O-])c1ccc2c(c1)S(=O)(=O)N=S2c1ccc(Br)cc1,1700.0,active,"{0, 2, 387.236, 4, 3.2795000000000014, 89.64}",0.0,2.0,387.236,4.0,3.2795000000000014,89.64
CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,40.0,active,"{1, 3, 4, 3.5139200000000006, 77.98, 381.3790000000001}",1.0,3.0,4.0,3.5139200000000006,77.98,381.3790000000001
CHEMBL2018570,COc1ccc(Cc2nn(Cc3nnc(Nc4ccccc4)s3)c(=O)c3c(C)noc23)cc1,100000.0,inactive,"{1, 3.9357200000000025, 7, 10, 107.96000000000001, 460.5190000000002}",1.0,3.9357200000000025,7.0,10.0,107.96000000000001,460.5190000000002
CHEMBL2018669,Cc1noc2c(Cc3ccccc3)nn(Cc3n[nH]c(=S)n3-c3ccccc3)c(=O)c12,100000.0,inactive,"{1, 3.5753100000000018, 5, 8, 430.49300000000017, 94.53}",1.0,3.5753100000000018,5.0,8.0,430.49300000000017,94.53
CHEMBL2018674,CCn1c(Cn2nc(Cc3ccc(OC)cc3)c3onc(C)c3c2=O)n[nH]c1=S,2200.0,active,"{1, 2.61461, 6, 103.76000000000002, 9, 412.4750000000002}",1.0,2.61461,6.0,103.76000000000002,9.0,412.4750000000002
CHEMBL179204,Cc1ccc(C(=Cc2ccc(S(C)(=O)=O)cc2)c2ccc(C)cc2)cc1,31600.0,inactive,"{0, 2, 34.14, 4, 5.295840000000005, 362.4940000000001}",0.0,2.0,34.14,4.0,5.295840000000005,362.4940000000001
CHEMBL2283168,CC/C(=C(\c1ccccc1)c1ccc(S(C)(=O)=O)cc1)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,32000.0,inactive,"{1, 3, 5, 7.759800000000008, 490.7090000000003, 54.370000000000005}",1.0,3.0,5.0,7.759800000000008,490.7090000000003,54.370000000000005
CHEMBL5418745,O=C(O)/C=C\C(=O)NNC(=O)CNc1ncnc2sc3c(c12)CCCC3,450.0,active,"{0.7701999999999993, 4, 5, 133.31, 7, 375.41000000000025}",0.7701999999999993,4.0,5.0,133.31,7.0,375.41000000000025
